Lower tier local authorities Code,Lower tier local authorities,Age (61 categories) Code,Age (61 categories),Sex (2 categories) Code,Sex (2 categories),Ethnic group (6 categories) Code,Ethnic group (6 categories),Observation
E06000023,Bristol,25,Aged 39 years,2,Male,4,White,2860
E06000023,Bristol,25,Aged 39 years,2,Male,5,Other ethnic group,95
E06000023,Bristol,26,Aged 40 years,1,Female,-8,Does not apply,0
E06000023,Bristol,26,Aged 40 years,1,Female,1,"Asian, Asian British or Asian Welsh",301
E06000023,Bristol,26,Aged 40 years,1,Female,2,"Black, Black British, Black Welsh, Caribbean or African",223
E06000023,Bristol,26,Aged 40 years,1,Female,3,Mixed or Multiple ethnic groups,132
E06000023,Bristol,26,Aged 40 years,1,Female,4,White,2748
E06000023,Bristol,26,Aged 40 years,1,Female,5,Other ethnic group,82
E06000023,Bristol,26,Aged 40 years,2,Male,-8,Does not apply,0
E06000023,Bristol,26,Aged 40 years,2,Male,1,"Asian, Asian British or Asian Welsh",267
E06000023,Bristol,26,Aged 40 years,2,Male,2,"Black, Black British, Black Welsh, Caribbean or African",173
E06000023,Bristol,26,Aged 40 years,2,Male,3,Mixed or Multiple ethnic groups,107
E06000023,Bristol,26,Aged 40 years,2,Male,4,White,2887
E06000023,Bristol,26,Aged 40 years,2,Male,5,Other ethnic group,91
E06000023,Bristol,27,Aged 41 years,1,Female,-8,Does not apply,0
E06000023,Bristol,27,Aged 41 years,1,Female,1,"Asian, Asian British or Asian Welsh",279
E06000023,Bristol,27,Aged 41 years,1,Female,2,"Black, Black British, Black Welsh, Caribbean or African",248
E06000023,Bristol,27,Aged 41 years,1,Female,3,Mixed or Multiple ethnic groups,101
E06000023,Bristol,27,Aged 41 years,1,Female,4,White,2718
E06000023,Bristol,27,Aged 41 years,1,Female,5,Other ethnic group,78
E06000023,Bristol,27,Aged 41 years,2,Male,-8,Does not apply,0
E06000023,Bristol,27,Aged 41 years,2,Male,1,"Asian, Asian British or Asian Welsh",218
E06000023,Bristol,27,Aged 41 years,2,Male,2,"Black, Black British, Black Welsh, Caribbean or African",197
E06000023,Bristol,27,Aged 41 years,2,Male,3,Mixed or Multiple ethnic groups,77
E06000023,Bristol,27,Aged 41 years,2,Male,4,White,2714
E06000023,Bristol,27,Aged 41 years,2,Male,5,Other ethnic group,82
E06000023,Bristol,28,Aged 42 years,1,Female,-8,Does not apply,0
E06000023,Bristol,28,Aged 42 years,1,Female,1,"Asian, Asian British or Asian Welsh",236
E06000023,Bristol,28,Aged 42 years,1,Female,2,"Black, Black British, Black Welsh, Caribbean or African",218
