Lower tier local authorities Code,Lower tier local authorities,Age (61 categories) Code,Age (61 categories),Sex (2 categories) Code,Sex (2 categories),Ethnic group (6 categories) Code,Ethnic group (6 categories),Tenure of household (7 categories) Code,Tenure of household (7 categories),Observation
E06000023,Bristol,2,Aged 16 years,2,Male,4,White,1,Owned: Owns with a mortgage or loan or shared ownership,812
E06000023,Bristol,2,Aged 16 years,2,Male,4,White,2,Social rented: Rents from council or Local Authority,347
E06000023,Bristol,2,Aged 16 years,2,Male,4,White,3,Social rented: Other social rented,69
E06000023,Bristol,2,Aged 16 years,2,Male,4,White,4,Private rented: Private landlord or letting agency,192
E06000023,Bristol,2,Aged 16 years,2,Male,4,White,5,Private rented: Other private rented or lives rent free,21
E06000023,Bristol,2,Aged 16 years,2,Male,5,Other ethnic group,-8,Does not apply,0
E06000023,Bristol,2,Aged 16 years,2,Male,5,Other ethnic group,0,Owned: Owns outright,3
E06000023,Bristol,2,Aged 16 years,2,Male,5,Other ethnic group,1,Owned: Owns with a mortgage or loan or shared ownership,8
E06000023,Bristol,2,Aged 16 years,2,Male,5,Other ethnic group,2,Social rented: Rents from council or Local Authority,17
E06000023,Bristol,2,Aged 16 years,2,Male,5,Other ethnic group,3,Social rented: Other social rented,7
E06000023,Bristol,2,Aged 16 years,2,Male,5,Other ethnic group,4,Private rented: Private landlord or letting agency,16
E06000023,Bristol,2,Aged 16 years,2,Male,5,Other ethnic group,5,Private rented: Other private rented or lives rent free,2
E06000023,Bristol,3,Aged 17 years,1,Female,-8,Does not apply,-8,Does not apply,0
E06000023,Bristol,3,Aged 17 years,1,Female,-8,Does not apply,0,Owned: Owns outright,0
E06000023,Bristol,3,Aged 17 years,1,Female,-8,Does not apply,1,Owned: Owns with a mortgage or loan or shared ownership,0
E06000023,Bristol,3,Aged 17 years,1,Female,-8,Does not apply,2,Social rented: Rents from council or Local Authority,0
E06000023,Bristol,3,Aged 17 years,1,Female,-8,Does not apply,3,Social rented: Other social rented,0
E06000023,Bristol,3,Aged 17 years,1,Female,-8,Does not apply,4,Private rented: Private landlord or letting agency,0
E06000023,Bristol,3,Aged 17 years,1,Female,-8,Does not apply,5,Private rented: Other private rented or lives rent free,0
E06000023,Bristol,3,Aged 17 years,1,Female,1,"Asian, Asian British or Asian Welsh",-8,Does not apply,0
